iter	Passed	Remaining
0	155	155221
1	156	78000
2	156	52158
3	158	39350
4	160	31895
5	162	26848
6	163	23168
7	164	20441
8	165	18243
9	166	16466
10	166	15007
11	167	13809
12	168	12782
13	168	11891
14	169	11125
15	169	10445
16	170	9847
17	170	9316
18	171	8837
19	171	8407
20	171	8017
21	172	7662
22	172	7340
23	173	7042
24	173	6769
25	173	6516
26	174	6282
27	174	6064
28	175	5862
29	175	5674
30	175	5498
31	176	5333
32	176	5179
33	177	5032
34	177	4894
35	177	4765
36	178	4641
37	178	4524
38	179	4413
39	179	4307
40	179	4207
41	180	4112
42	180	4020
43	181	3933
44	181	3850
45	181	3771
46	182	3695
47	182	3622
48	183	3552
49	183	3486
50	183	3422
51	184	3359
52	184	3300
53	185	3243
54	185	3188
55	185	3135
56	186	3083
57	186	3033
58	187	2985
59	187	2939
60	188	2894
61	188	2850
62	188	2808
63	189	2767
64	189	2727
65	190	2689
66	190	2651
67	190	2615
68	191	2579
69	191	2545
70	192	2512
71	192	2479
72	192	2447
73	193	2417
74	193	2386
75	193	2357
76	194	2329
77	194	2301
78	195	2274
79	195	2248
80	195	2223
81	196	2198
82	196	2171
83	196	2147
84	197	2124
85	197	2101
86	198	2079
87	198	2057
88	198	2036
89	199	2016
90	199	1996
91	200	1977
92	200	1958
93	201	1940
94	201	1921
95	202	1903
96	202	1885
97	202	1868
98	203	1851
99	203	1834
100	204	1818
101	204	1802
102	205	1787
103	205	1771
104	206	1756
105	206	1741
106	206	1726
107	207	1712
108	207	1697
109	208	1683
110	208	1669
111	208	1656
112	209	1642
113	209	1629
114	210	1616
115	210	1603
116	210	1590
117	211	1578
118	211	1566
119	211	1554
120	212	1542
121	212	1530
122	213	1519
123	213	1507
124	213	1497
125	214	1486
126	214	1475
127	215	1465
128	215	1454
129	215	1444
130	216	1434
131	216	1425
132	217	1415
133	217	1405
134	217	1396
135	218	1386
136	218	1377
137	219	1368
138	219	1359
139	219	1351
140	220	1342
141	220	1333
142	221	1324
143	221	1316
144	221	1307
145	222	1299
146	222	1291
147	222	1283
148	223	1275
149	223	1268
150	224	1260
151	224	1252
152	224	1245
153	225	1237
154	225	1230
155	226	1223
156	226	1216
157	226	1209
158	227	1202
159	227	1195
160	228	1188
161	228	1181
162	228	1174
163	229	1168
164	229	1161
165	230	1155
166	230	1149
167	230	1143
168	231	1136
169	231	1131
170	232	1124
171	232	1119
172	232	1113
173	233	1107
174	233	1101
175	234	1095
176	234	1090
177	234	1084
178	235	1079
179	235	1073
180	236	1068
181	236	1063
182	236	1057
183	237	1052
184	237	1047
185	238	1041
186	238	1036
187	238	1031
188	239	1026
189	239	1021
190	240	1016
191	240	1011
192	240	1006
193	241	1002
194	241	997
195	242	992
196	242	988
197	242	983
198	243	979
199	243	974
200	244	970
201	244	965
202	244	961
203	245	957
204	245	953
205	246	949
206	246	944
207	246	940
208	247	936
209	247	932
210	248	928
211	248	924
212	249	920
213	249	916
214	249	912
215	250	908
216	250	904
217	250	900
218	251	896
219	251	892
220	252	889
221	252	885
222	253	881
223	253	878
224	253	874
225	254	870
226	254	867
227	255	863
228	255	860
229	255	856
230	256	853
231	256	849
232	257	846
233	257	842
234	257	839
235	258	836
236	258	832
237	259	829
238	259	826
239	259	822
240	260	819
241	260	816
242	261	813
243	261	810
244	261	806
245	262	803
246	262	800
247	262	797
248	263	794
249	263	791
250	264	788
251	264	785
252	264	782
253	265	779
254	265	776
255	266	773
256	266	770
257	266	767
258	267	764
259	267	761
260	267	758
261	268	755
262	268	753
263	269	750
264	269	747
265	269	744
266	270	742
267	270	739
268	271	736
269	271	734
270	271	731
271	272	728
272	272	726
273	273	723
274	273	721
275	273	718
276	274	716
277	274	713
278	275	711
279	275	709
280	276	706
281	276	704
282	277	701
283	277	699
284	277	697
285	278	695
286	278	692
287	279	690
288	279	688
289	280	685
290	280	683
291	280	681
292	281	678
293	281	676
294	282	674
295	282	671
296	282	669
297	283	667
298	283	665
299	284	662
300	284	660
301	284	658
302	285	656
303	285	654
304	286	652
305	286	649
306	286	647
307	287	645
308	287	643
309	288	641
310	288	639
311	288	637
312	289	635
313	289	633
314	290	631
315	290	629
316	291	627
317	291	625
318	291	623
319	292	620
320	292	619
321	293	617
322	293	615
323	293	613
324	294	611
325	294	609
326	295	607
327	295	605
328	295	603
329	296	601
330	296	599
331	297	597
332	297	595
333	297	594
334	298	592
335	298	590
336	299	588
337	299	586
338	299	584
339	300	582
340	300	580
341	301	579
342	301	577
343	301	575
344	302	573
345	302	571
346	302	570
347	303	568
348	303	566
349	304	564
350	304	563
351	304	561
352	305	559
353	305	558
354	306	556
355	306	554
356	307	553
357	307	551
358	307	549
359	308	548
360	308	546
361	309	544
362	309	543
363	309	541
364	310	539
365	310	538
366	311	536
367	311	534
368	311	533
369	312	531
370	312	530
371	313	528
372	313	527
373	313	525
374	314	523
375	314	522
376	315	520
377	315	519
378	315	517
379	316	516
380	316	514
381	317	513
382	317	511
383	317	509
384	318	508
385	318	506
386	319	505
387	319	503
388	319	502
389	320	501
390	320	499
391	321	498
392	321	497
393	322	495
394	322	494
395	323	492
396	323	491
397	323	490
398	324	488
399	324	487
400	325	485
401	325	484
402	326	483
403	326	481
404	326	480
405	327	478
406	327	477
407	328	476
408	328	474
409	328	473
410	329	472
411	329	470
412	330	469
413	330	467
414	330	466
415	331	465
416	331	463
417	332	462
418	332	460
419	332	459
420	333	458
421	333	456
422	334	455
423	334	454
424	334	453
425	335	451
426	335	450
427	336	449
428	336	448
429	337	447
430	337	445
431	337	444
432	338	443
433	338	441
434	339	440
435	339	439
436	339	437
437	340	436
438	340	435
439	341	434
440	341	432
441	341	431
442	342	430
443	342	429
444	343	427
445	343	426
446	343	425
447	344	424
448	344	422
449	345	421
450	345	420
451	345	419
452	346	418
453	346	417
454	347	415
455	347	414
456	347	413
457	348	412
458	348	411
459	349	409
460	349	408
461	349	407
462	350	406
463	350	405
464	351	404
465	351	403
466	352	402
467	352	400
468	353	399
469	353	398
470	354	397
471	354	396
472	354	395
473	355	394
474	355	393
475	356	392
476	356	391
477	357	390
478	357	388
479	358	387
480	358	386
481	358	385
482	359	384
483	359	383
484	360	382
485	360	381
486	360	379
487	361	378
488	361	377
489	361	376
490	362	375
491	362	374
492	363	373
493	363	372
494	364	371
495	364	370
496	364	369
497	365	368
498	365	367
499	366	366
500	366	365
501	367	364
502	367	363
503	368	362
504	368	361
505	369	360
506	369	359
507	370	358
508	370	357
509	371	356
510	371	355
511	371	354
512	372	353
513	372	352
514	373	351
515	373	350
516	374	349
517	374	348
518	374	347
519	375	346
520	375	345
521	376	344
522	376	343
523	376	342
524	377	341
525	377	340
526	378	339
527	378	338
528	378	337
529	379	336
530	379	335
531	380	334
532	380	333
533	381	332
534	381	331
535	381	330
536	382	329
537	382	328
538	383	327
539	383	326
540	384	326
541	384	325
542	385	324
543	385	323
544	386	322
545	386	321
546	387	320
547	387	319
548	387	318
549	388	317
550	388	316
551	389	315
552	389	314
553	389	313
554	390	312
555	390	311
556	391	311
557	391	310
558	391	309
559	392	308
560	392	307
561	393	306
562	393	305
563	393	304
564	394	303
565	394	302
566	395	301
567	395	300
568	395	299
569	396	298
570	396	298
571	397	297
572	397	296
573	398	295
574	398	294
575	399	293
576	399	292
577	399	291
578	400	291
579	400	290
580	401	289
581	401	288
582	401	287
583	402	286
584	402	285
585	403	284
586	403	283
587	404	283
588	404	282
589	404	281
590	405	280
591	405	279
592	405	278
593	406	277
594	406	276
595	407	275
596	407	275
597	407	274
598	408	273
599	408	272
600	409	271
601	409	271
602	410	270
603	410	269
604	411	268
605	411	267
606	412	266
607	412	266
608	413	265
609	413	264
610	414	263
611	414	262
612	415	262
613	415	261
614	415	260
615	416	259
616	416	258
617	417	257
618	417	256
619	417	256
620	418	255
621	418	254
622	419	253
623	419	252
624	419	251
625	420	251
626	420	250
627	421	249
628	421	248
629	421	247
630	422	246
631	422	246
632	423	245
633	423	244
634	423	243
635	424	242
636	424	242
637	425	241
638	425	240
639	425	239
640	426	238
641	426	238
642	427	237
643	427	236
644	428	235
645	428	234
646	429	234
647	429	233
648	429	232
649	430	231
650	430	230
651	431	230
652	431	229
653	431	228
654	432	227
655	432	226
656	433	226
657	433	225
658	433	224
659	434	223
660	434	222
661	435	222
662	435	221
663	435	220
664	436	219
665	436	218
666	437	218
667	437	217
668	437	216
669	438	215
670	438	215
671	438	214
672	439	213
673	439	212
674	440	211
675	440	211
676	441	210
677	441	209
678	441	208
679	442	208
680	442	207
681	443	206
682	443	205
683	444	205
684	444	204
685	444	203
686	445	202
687	445	202
688	446	201
689	446	200
690	446	199
691	447	199
692	447	198
693	448	197
694	448	196
695	449	196
696	449	195
697	449	194
698	450	193
699	450	193
700	450	192
701	451	191
702	451	190
703	452	190
704	452	189
705	452	188
706	453	187
707	453	187
708	454	186
709	454	185
710	454	184
711	455	184
712	455	183
713	456	182
714	456	181
715	456	181
716	457	180
717	457	179
718	458	179
719	458	178
720	458	177
721	459	176
722	459	176
723	460	175
724	460	174
725	460	173
726	461	173
727	461	172
728	462	171
729	462	171
730	462	170
731	463	169
732	463	168
733	464	168
734	464	167
735	464	166
736	465	166
737	465	165
738	466	164
739	466	163
740	466	163
741	467	162
742	467	161
743	468	161
744	468	160
745	468	159
746	469	158
747	469	158
748	470	157
749	470	156
750	470	156
751	471	155
752	471	154
753	472	154
754	472	153
755	473	152
756	473	152
757	473	151
758	474	150
759	474	149
760	475	149
761	475	148
762	475	147
763	476	147
764	476	146
765	477	145
766	477	145
767	477	144
768	478	143
769	478	142
770	479	142
771	479	141
772	479	140
773	480	140
774	480	139
775	481	138
776	481	138
777	482	137
778	482	136
779	483	136
780	483	135
781	484	134
782	484	134
783	485	133
784	485	133
785	486	132
786	486	131
787	487	131
788	487	130
789	488	129
790	488	129
791	488	128
792	489	127
793	489	127
794	490	126
795	490	125
796	491	125
797	491	124
798	492	123
799	492	123
800	492	122
801	493	121
802	493	121
803	493	120
804	494	119
805	494	119
806	495	118
807	495	117
808	496	117
809	496	116
810	496	115
811	497	115
812	497	114
813	498	113
814	498	113
815	498	112
816	499	111
817	499	111
818	500	110
819	500	109
820	501	109
821	501	108
822	502	107
823	502	107
824	502	106
825	503	106
826	503	105
827	504	104
828	504	104
829	505	103
830	505	102
831	506	102
832	506	101
833	506	100
834	507	100
835	507	99
836	508	98
837	508	98
838	509	97
839	509	97
840	510	96
841	510	95
842	511	95
843	511	94
844	511	93
845	512	93
846	512	92
847	513	91
848	513	91
849	513	90
850	514	90
851	514	89
852	515	88
853	515	88
854	515	87
855	516	86
856	516	86
857	517	85
858	517	84
859	517	84
860	518	83
861	518	83
862	519	82
863	519	81
864	519	81
865	520	80
866	520	79
867	521	79
868	521	78
869	521	77
870	522	77
871	522	76
872	522	76
873	523	75
874	523	74
875	524	74
876	524	73
877	524	72
878	525	72
879	525	71
880	526	71
881	526	70
882	526	69
883	527	69
884	527	68
885	528	67
886	528	67
887	528	66
888	529	66
889	529	65
890	530	64
891	530	64
892	530	63
893	531	62
894	531	62
895	532	61
896	532	61
897	532	60
898	533	59
899	533	59
900	534	58
901	534	58
902	535	57
903	535	56
904	535	56
905	536	55
906	536	55
907	537	54
908	537	53
909	537	53
910	538	52
911	538	52
912	539	51
913	539	50
914	540	50
915	540	49
916	541	48
917	541	48
918	541	47
919	542	47
920	542	46
921	543	45
922	543	45
923	543	44
924	544	44
925	544	43
926	544	42
927	545	42
928	545	41
929	546	41
930	546	40
931	546	39
932	547	39
933	547	38
934	548	38
935	548	37
936	548	36
937	549	36
938	549	35
939	550	35
940	550	34
941	550	33
942	551	33
943	551	32
944	552	32
945	552	31
946	553	30
947	553	30
948	553	29
949	554	29
950	554	28
951	555	27
952	555	27
953	555	26
954	556	26
955	556	25
956	557	25
957	557	24
958	557	23
959	558	23
960	558	22
961	559	22
962	559	21
963	559	20
964	560	20
965	560	19
966	560	19
967	561	18
968	561	17
969	562	17
970	562	16
971	563	16
972	563	15
973	564	15
